"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00014846","SANDUSKY, OH US","2015-10-16","0.01","56","42"
"USW00014846","SANDUSKY, OH US","2015-10-17","0.00","47","35"
"USW00014846","SANDUSKY, OH US","2015-10-18","0.00","49","34"
"USW00014846","SANDUSKY, OH US","2015-10-19","0.00","66","37"
"USW00014846","SANDUSKY, OH US","2015-10-20","0.00","75","56"
"USW00014846","SANDUSKY, OH US","2015-10-21","0.00","76","54"
"USW00014846","SANDUSKY, OH US","2015-10-22","0.00","67","51"
"USW00014846","SANDUSKY, OH US","2015-10-23","0.00","58","50"
"USW00014846","SANDUSKY, OH US","2015-10-24","0.17","73","54"
"USW00014846","SANDUSKY, OH US","2015-10-25","0.00","60","45"
"USW00014846","SANDUSKY, OH US","2015-10-26","0.00","60","39"
"USW00014846","SANDUSKY, OH US","2015-10-27","0.11","57","48"
"USW00014846","SANDUSKY, OH US","2015-10-28","1.65","64","51"
"USW00014846","SANDUSKY, OH US","2015-10-29","0.00","54","42"
"USW00014846","SANDUSKY, OH US","2015-10-30","0.00","52","41"
"USW00014846","SANDUSKY, OH US","2015-10-31","0.10","54","39"
"USW00014846","SANDUSKY, OH US","2015-11-01","0.02","64","49"
"USW00014846","SANDUSKY, OH US","2015-11-02","0.00","70","45"
"USW00014846","SANDUSKY, OH US","2015-11-03","0.00","65","46"
"USW00014846","SANDUSKY, OH US","2015-11-04","0.00","72","48"
"USW00014846","SANDUSKY, OH US","2015-11-05","0.00","76","61"
"USW00014846","SANDUSKY, OH US","2015-11-06","0.13","68","50"
"USW00014846","SANDUSKY, OH US","2015-11-07","0.00","54","46"
"USW00014846","SANDUSKY, OH US","2015-11-08","0.00","51","36"
"USW00014846","SANDUSKY, OH US","2015-11-09","0.00","54","36"
"USW00014846","SANDUSKY, OH US","2015-11-10","0.53","54","46"
"USW00014846","SANDUSKY, OH US","2015-11-11","0.00","57","40"
"USW00014846","SANDUSKY, OH US","2015-11-12","0.03","57","48"
"USW00014846","SANDUSKY, OH US","2015-11-13","0.01","49","40"
"USW00014846","SANDUSKY, OH US","2015-11-14","0.00","50","38"
"USW00014846","SANDUSKY, OH US","2015-11-15","0.00","66","43"
"USW00014846","SANDUSKY, OH US","2015-11-16","0.00","61","43"
"USW00014846","SANDUSKY, OH US","2015-11-17","0.00","66","47"
"USW00014846","SANDUSKY, OH US","2015-11-18","0.22","70","60"
"USW00014846","SANDUSKY, OH US","2015-11-19","0.00","65","39"
"USW00014846","SANDUSKY, OH US","2015-11-20","0.00","46","34"
"USW00014846","SANDUSKY, OH US","2015-11-21","0.14","46","33"
"USW00014846","SANDUSKY, OH US","2015-11-22","0.00","35","24"
"USW00014846","SANDUSKY, OH US","2015-11-23","0.00","37","22"
"USW00014846","SANDUSKY, OH US","2015-11-24","0.01","47","32"
"USW00014846","SANDUSKY, OH US","2015-11-25","0.00","61","35"
"USW00014846","SANDUSKY, OH US","2015-11-26","0.00","62","47"
"USW00014846","SANDUSKY, OH US","2015-11-27","0.51","61","40"
"USW00014846","SANDUSKY, OH US","2015-11-28","0.15","41","38"
